					max_d_1 	 mean_d_1 	 max_plane_d_1 	 mean_plane_d_1 	 max_d_2 	 mean_d_2 	 max_plane_d_2 	 mean_plane_d_2


data1
mean60_max40		1.150286 	 0.607832  	  0.386678    	    0.136943    	 1.150286 	 0.607832 	   0.386678 	   0.136943
mean50_max50		1.167629 	 0.614253  	  0.507130    	    0.144456    	 1.266520 	 0.662197 	   0.746832 	   0.266026
mean40_max60		1.178984 	 0.626115  	  0.515938    	    0.201487    	 1.463076 	 0.718297 	   1.133750 	   0.355641
mean30_max70		1.263600 	 0.642770  	  0.678560    	    0.222442    	 1.263600 	 0.642770 	   0.678560 	   0.222442
mean20_max80		1.193139 	 0.602227  	  0.439383    	    0.157410    	 1.193139 	 0.602227 	   0.439383 	   0.157410
mean10_max90		1.171974 	 0.630105  	  0.479809    	    0.216383    	 1.171974 	 0.630105 	   0.479809 	   0.216383

data16
mean100_max0		1.076649 	 0.580282  	  0.311704    	    0.071175    	 1.076649 	 0.580282 	   0.311704 	   0.071175
mean90_max10		1.155750 	 0.604232  	  0.545197    	    0.102596    	 1.137155 	 0.593903 	   0.469582 	   0.101272
mean80_max20		1.304689 	 0.622025  	  0.973694    	    0.179978    	 1.148588 	 0.603627 	   0.560153 	   0.116324
mean75_max25		1.191346 	 0.597119  	  0.492376    	    0.124391    	 1.164180 	 0.595442 	   0.459979 	   0.104379
mean70_max30		1.792054 	 0.792078  	  1.575319    	    0.438448    	 4.242705 	 1.240410 	   4.114713 	   0.991601
mean60_max40		1.478539 	 0.726070  	  1.294894    	    0.388008    	 1.478539 	 0.726070 	   1.294894 	   0.388008
mean50_max50		3.593575 	 1.285508  	  3.486267    	    1.032363    	 2.460494 	 0.969230 	   2.274786 	   0.698990
mean40_max60		1.199812 	 0.608113  	  0.435883    	    0.149128    	 1.238396 	 0.594632 	   0.551017 	   0.133837
mean30_max70		1.380904 	 0.742486  	  1.154614    	    0.390631    	 1.380904 	 0.742486 	   1.154614 	   0.390631
mean20_max80		2.125568 	 0.835446  	  1.974368    	    0.488013    	 2.125568 	 0.835446 	   1.974368 	   0.488013
mean10_max90		1.368547 	 0.757522  	  0.912130    	    0.401810    	 1.368547 	 0.757522 	   0.912130 	   0.401810

data17
mean100_max0		1.086853 	 0.588407  	  0.316823    	    0.076165    	 1.095694 	 0.587979 	   0.309362 	   0.075851
mean90_max10		1.157810 	 0.593650  	  0.450815    	    0.096503    	 1.223728 	 0.606477 	   0.572912 	   0.118681
mean80_max20		1.146091 	 0.614555  	  0.577937    	    0.132774    	 1.181345 	 0.595165 	   0.489960 	   0.126925
mean75_max25		1.181323 	 0.595268  	  0.475336    	    0.101602    	 1.181323 	 0.595268 	   0.475336 	   0.101602
mean70_max30		1.205111 	 0.649985  	  0.839230    	    0.254484    	 1.205111 	 0.649985 	   0.839230 	   0.254484
mean60_max40		1.132990 	 0.583897  	  0.563433    	    0.130964    	 1.184144 	 0.609360 	   0.658710 	   0.165576
mean50_max50		2.495010 	 0.870162  	  2.403303    	    0.558658    	 2.495010 	 0.870162 	   2.403303 	   0.558658
mean40_max60		2.764528 	 0.992075  	  2.631832    	    0.707413    	 2.764528 	 0.992075 	   2.631832 	   0.707413
mean30_max70		1.688536 	 0.842869  	  1.604139    	    0.531813    	 1.688536 	 0.842869 	   1.604139 	   0.531813
mean20_max80		3.612207 	 1.373129  	  3.550234    	    1.177439    	 3.612207 	 1.373129 	   3.550234 	   1.177439
mean10_max90		3.654419 	 1.572247  	  3.588105    	    1.388966    	 2.811933 	 1.088929 	   2.628604 	   0.828303

data18
